,mdhr,means,bins,wkday
0,102910,0.90988372093,10.0,0
1,102911,0.770348837209,11.0,0
2,102912,0.529069767442,12.0,0
3,102913,0.402131782946,13.0,0
4,102914,0.464470284238,14.0,0
5,102915,0.485788113695,15.0,0
6,102916,0.487080103359,16.0,0
7,102917,0.441214470284,17.0,0
8,102918,0.636627906977,18.0,0
11,10296,0.116279069767,6.0,0
12,10297,0.229651162791,7.0,0
13,10298,0.774224806202,8.0,0
14,10299,0.84334625323,9.0,0
15,103013,0.453488372093,13.0,1
16,103014,0.465821000705,14.0,1
17,103015,0.483527131783,15.0,1
18,103016,0.454134366925,16.0,1
19,103017,0.486962649753,17.0,1
20,103018,0.549612403101,18.0,1
21,103110,0.81007751938,10.0,2
22,103111,0.68830749354,11.0,2
23,103112,0.500322997416,12.0,2
24,103113,0.369832041344,13.0,2
25,103114,0.410206718346,14.0,2
26,103115,0.455426356589,15.0,2
27,103116,0.492571059432,16.0,2
28,103117,0.505490956072,17.0,2
29,10316,0.109819121447,6.0,2
30,10317,0.225452196382,7.0,2
31,10318,0.787790697674,8.0,2
32,10319,0.862403100775,9.0,2
34,10306,0.106878306878,6.0,1
35,10307,0.204932360541,7.0,1
36,10308,0.719886780074,8.0,1
37,10309,0.8143089701,9.0,1
38,103010,0.83489087028,10.0,1
39,103011,0.747269750809,11.0,1
40,103012,0.537195866345,12.0,1
44,103118,0.557042760994,18.0,2
48,11016,0.106878306878,6.0,3
49,11017,0.204932360541,7.0,3
50,11018,0.719886780074,8.0,3
51,11019,0.8143089701,9.0,3
52,110110,0.83489087028,10.0,3
53,110111,0.747269750809,11.0,3
54,110112,0.537195866345,12.0,3
55,110113,0.407653379089,13.0,3
56,110114,0.45703879033,14.0,3
57,110115,0.495310420092,15.0,3
58,110116,0.475788652024,16.0,3
59,110117,0.465736740509,17.0,3
60,110118,0.557042760994,18.0,3
64,11026,0.106878306878,6.0,4
65,11027,0.204932360541,7.0,4
66,11028,0.719886780074,8.0,4
67,11029,0.8143089701,9.0,4
68,110210,0.83489087028,10.0,4
69,110211,0.747269750809,11.0,4
70,110212,0.537195866345,12.0,4
71,110213,0.407653379089,13.0,4
72,110214,0.45703879033,14.0,4
73,110215,0.495310420092,15.0,4
74,110216,0.475788652024,16.0,4
75,110217,0.465736740509,17.0,4
76,110218,0.557042760994,18.0,4
