,mdhr,means,bins,wkday
0,091710,0.873062015504,10.0,0
1,091711,0.75484496124,11.0,0
2,091712,0.557170542636,12.0,0
3,091713,0.367894056848,13.0,0
4,091714,0.430555555556,14.0,0
5,091715,0.479651162791,15.0,0
6,091716,0.438630490956,16.0,0
7,091717,0.415051679587,17.0,0
8,091718,0.494670542636,18.0,0
9,09176,0.0077519379845,6.0,0
10,09177,0.149547803618,7.0,0
11,09178,0.735788113695,8.0,0
12,09179,0.828488372093,9.0,0
13,091810,0.89857881137,10.0,1
14,091811,0.784355179704,11.0,1
15,091812,0.535206718346,12.0,1
16,091813,0.369509043928,13.0,1
17,091814,0.371124031008,14.0,1
18,091815,0.37015503876,15.0,1
19,091816,0.318798449612,16.0,1
20,091817,0.327519379845,17.0,1
21,091818,0.515503875969,18.0,1
22,09186,0.0130813953488,6.0,1
23,09187,0.152131782946,7.0,1
24,09188,0.728359173127,8.0,1
25,09189,0.846899224806,9.0,1
26,091910,0.818798449612,10.0,2
27,091911,0.6915374677,11.0,2
28,091912,0.415697674419,12.0,2
29,091913,0.442183462532,13.0,2
30,091914,0.423126614987,14.0,2
31,091915,0.492248062016,15.0,2
32,091916,0.419250645995,16.0,2
33,091917,0.418281653747,17.0,2
34,091918,0.482834994463,18.0,2
35,09196,0.00719822812846,6.0,2
36,09197,0.111111111111,7.0,2
37,09198,0.668428470754,8.0,2
38,09199,0.812015503876,9.0,2
39,092010,0.904069767442,10.0,3
40,092011,0.837209302326,11.0,3
41,092012,0.604651162791,12.0,3
42,092013,0.43830749354,13.0,3
43,092014,0.503552971576,14.0,3
44,092015,0.56007751938,15.0,3
45,092016,0.50322997416,16.0,3
46,092017,0.488372093023,17.0,3
47,092018,0.545650301464,18.0,3
48,09206,0.0169573643411,6.0,3
49,09207,0.147932816537,7.0,3
50,09208,0.708010335917,8.0,3
51,09209,0.852713178295,9.0,3
52,092110,0.767441860465,10.0,4
53,092111,0.587209302326,11.0,4
54,092112,0.429263565891,12.0,4
55,092113,0.367248062016,13.0,4
56,092114,0.481266149871,14.0,4
57,092115,0.593992248062,15.0,4
58,092116,0.46673126615,16.0,4
59,092117,0.397932816537,17.0,4
60,09216,0.0426356589147,6.0,4
61,09217,0.181201550388,7.0,4
62,09218,0.695736434109,8.0,4
63,09219,0.827196382429,9.0,4
65,092118,0.557042760994,18.0,4
