,mdhr,means,bins,wkday
0,091115,0.523255813953,15.0,1
1,091116,0.496124031008,16.0,1
2,091117,0.521317829457,17.0,1
3,091118,0.561627906977,18.0,1
4,091210,0.875616631431,10.0,2
5,091211,0.793281653747,11.0,2
6,091212,0.557434813249,12.0,2
7,091213,0.442917547569,13.0,2
8,091214,0.52357881137,14.0,2
9,091215,0.513742071882,15.0,2
10,091216,0.46834625323,16.0,2
11,091217,0.443974630021,17.0,2
12,091218,0.543023255814,18.0,2
13,09126,0.0131782945736,6.0,2
14,09127,0.166343669251,7.0,2
15,09128,0.750176180409,8.0,2
16,09129,0.811369509044,9.0,2
17,091310,0.895348837209,10.0,3
18,091311,0.827842377261,11.0,3
19,091312,0.576873385013,12.0,3
20,091313,0.341085271318,13.0,3
21,091314,0.489987080103,14.0,3
22,091315,0.56815245478,15.0,3
23,091316,0.537790697674,16.0,3
24,091317,0.44315245478,17.0,3
25,091318,0.483720930233,18.0,3
26,09136,0.0139534883721,6.0,3
27,09137,0.143410852713,7.0,3
28,09138,0.755461592671,8.0,3
29,091410,0.90503875969,10.0,4
30,091411,0.8165374677,11.0,4
31,091412,0.551356589147,12.0,4
32,091413,0.365310077519,13.0,4
33,091414,0.422803617571,14.0,4
34,091415,0.480620155039,15.0,4
35,091416,0.451873385013,16.0,4
36,091417,0.386304909561,17.0,4
37,091418,0.388565891473,18.0,4
38,09149,0.881782945736,9.0,4
40,09106,0.106878306878,6.0,0
41,09107,0.204932360541,7.0,0
42,09108,0.719886780074,8.0,0
43,09109,0.8143089701,9.0,0
44,091010,0.83489087028,10.0,0
45,091011,0.747269750809,11.0,0
46,091012,0.537195866345,12.0,0
47,091013,0.407653379089,13.0,0
48,091014,0.45703879033,14.0,0
49,091015,0.495310420092,15.0,0
50,091016,0.475788652024,16.0,0
51,091017,0.465736740509,17.0,0
52,091018,0.557042760994,18.0,0
56,09116,0.106878306878,6.0,1
57,09117,0.204932360541,7.0,1
58,09118,0.719886780074,8.0,1
59,09119,0.8143089701,9.0,1
60,091110,0.83489087028,10.0,1
61,091111,0.747269750809,11.0,1
62,091112,0.537195866345,12.0,1
63,091113,0.407653379089,13.0,1
64,091114,0.45703879033,14.0,1
68,09139,0.8143089701,9.0,3
72,09146,0.106878306878,6.0,4
73,09147,0.204932360541,7.0,4
74,09148,0.719886780074,8.0,4
