X,Y,X,Y,id,rowId
205.6792150096,-23.188296787300001,205.6792150096,-23.1882967873,1,1
227.05952478099999,-22.244851350299999,227.059524781,-22.2448513503,2,1
249.72519076,-21.173635589900002,249.72519076,-21.1736355899,3,1
268.135226899200006,-19.753790807600002,268.1352268992,-19.7537908076,4,1
289.280745838799987,-18.324832414900001,289.2807458388,-18.3248324149,5,1
315.623970455199981,-16.2448272319,315.6239704552,-16.2448272319,6,1
345.338836692899974,-13.6301631825,345.3388366929,-13.6301631825,7,1
366.255655565100028,-14.062478185,366.2556555651,-14.062478185,8,1
390.151772308899979,-10.6605746828,390.1517723089,-10.6605746828,9,1
416.38250736980001,-10.7242365818,416.3825073698,-10.7242365818,10,1
436.431582466900011,-11.2807095868,436.4315824669,-11.2807095868,11,1
464.662938621500018,-11.9508732464,464.6629386215,-11.9508732464,12,1
492.979180154900007,-9.923729162800001,492.9791801549,-9.9237291628,13,1
517.232931560499992,-10.0702812026,517.2329315605,-10.0702812026,14,1
555.134475276300009,-8.9443554564,555.1344752763,-8.9443554564,15,1
580.998474008699986,-8.1946743337,580.9984740087,-8.1946743337,16,1
605.737951057099963,-5.9456309656,605.7379510571,-5.9456309656,17,1
631.601949789500054,-5.195949843,631.6019497895,-5.195949843,18,1
658.590470205999964,-5.5707904043,658.590470206,-5.5707904043,19,1
682.5802661317,-5.5707904043,682.5802661317,-5.5707904043,20,1
708.81910542549997,-4.0714281589,708.8191054255,-4.0714281589,21,1
736.182466403300054,-4.0714281589,736.1824664033,-4.0714281589,22,1
762.421305697100024,-2.9469064749,762.4213056971,-2.9469064749,23,1
187.035220558600003,-41.394216038499998,187.0352205586,-41.3942160385,100,2
209.041352440499992,-40.209003978,209.0413524405,-40.209003978,101,2
232.261724070700012,-39.559946620700003,232.2617240707,-39.5599466207,102,2
252.838052430599987,-38.534114363500002,252.8380524306,-38.5341143635,103,2
282.923270675399976,-39.447751792699997,282.9232706754,-39.4477517927,104,2
301.916723828399995,-37.940491356800003,301.9167238284,-37.9404913568,105,2
326.604748276900011,-41.835588188800003,326.6047482769,-41.8355881888,106,2
350.681669048499998,-36.048000947299997,350.6816690485,-36.0480009473,107,2
374.843853503300011,-34.156257088300002,374.8438535033,-34.1562570883,108,2
403.673913349100019,-34.607191259799997,403.6739133491,-34.6071912598,109,2
429.021856854199996,-35.746131869599999,429.0218568542,-35.7461318696,110,2
453.993274309500009,-36.678084533300002,453.9932743095,-36.6780845333,111,2
482.193250569200018,-34.993079770100003,482.1932505692,-34.9930797701,112,2
507.531831613800023,-34.786091824099998,507.5318316138,-34.7860918241,113,2
551.409701744899962,-35.016036099399997,551.4097017449,-35.0160360994,114,2
575.802403687099968,-37.511020413600001,575.8024036871,-37.5110204136,115,2
596.448072352799954,-28.001768635,596.4480723528,-28.001768635,116,2
627.48514710430004,-32.880532300600002,627.4851471043,-32.8805323006,117,2
653.767595966500039,-32.880532300600002,653.7675959665,-32.8805323006,118,2
679.228718301799972,-32.0592057737,679.2287183018,-32.0592057737,119,2
706.332493690900037,-30.416552719799999,706.3324936909,-30.4165527198,120,2
737.646330054599957,-26.6512922225,737.6463300546,-26.6512922225,121,2
762.987463792499966,-28.7738996659,762.9874637925,-28.7738996659,122,2
788.465146385300045,-28.7738996659,788.4651463853,-28.7738996659,123,2
817.211574828399989,-27.131246612,817.2115748284,-27.131246612,124,2
845.136676744500051,-27.131246612,845.1366767445,-27.131246612,125,2
872.240452133600002,-24.667267031200002,872.2404521336,-24.6672670312,126,2
928.911982492699963,-23.845940504200001,928.9119824927,-23.8459405042,128,2
1016.436365699699991,-21.801413212899998,1016.4363656997,-21.8014132129,131,2
1045.760620643000038,-15.936562224299999,1045.760620643,-15.9365622243,132,2
141.935412005199993,-94.619927226100003,141.9354120052,-94.6199272261,200,3
162.847325498700002,-93.577312595699993,162.8473254987,-93.5773125957,201,3
185.990225928400008,-90.996836692499997,185.9902259284,-90.9968366925,202,3
216.000557105399992,-93.658695294500006,216.0005571054,-93.6586952945,203,3
241.46167944070001,-92.837368767499996,241.4616794407,-92.8373687675,204,3
261.994842614300012,-92.837368767499996,261.9948426143,-92.8373687675,205,3
293.071197504,-90.152101083199994,293.071197504,-90.1521010832,206,3
320.309026027299979,-90.373389186699995,320.3090260273,-90.3733891867,207,3
344.12749530870002,-88.730736132800004,344.1274953087,-88.7307361328,208,3
372.052597224800024,-88.730736132800004,372.0525972248,-88.7307361328,209,3
399.977699140899972,-87.909409605899995,399.9776991409,-87.9094096059,210,3
428.12994143100002,-86.989143568399996,428.129941431,-86.9891435684,211,3
455.33850860130002,-88.381247165800005,455.3385086013,-88.3812471658,212,3
481.644366545900027,-89.0685205586,481.6443665459,-89.0685205586,213,3
524.819331236299945,-85.44543002499999,524.8193312363,-85.445430025,214,3
555.208412733299951,-82.981450444199993,555.2084127333,-82.9814504442,215,3
585.597494230200027,-83.802776971200004,585.5974942302,-83.8027769712,216,3
612.701269619299978,-83.802776971200004,612.7012696193,-83.8027769712,217,3
640.198131315799969,-82.228398344699997,640.1981313158,-82.2283983447,218,3
670.827190007500008,-80.397482266,670.8271900075,-80.397482266,219,3
696.733112819999974,-79.131355261799996,696.73311282,-79.1313552618,220,3
728.508309918399959,-78.053491282500005,728.5083099184,-78.0534912825,221,3
788.14033450550005,-76.735650108499996,788.1403345055,-76.7356501085,223,3
820.856846728299956,-74.6481965774,820.8568467283,-74.6481965774,224,3
848.421982852200017,-74.768185174799996,848.4219828522,-74.7681851748,225,3
877.989737822200027,-73.946858647799999,877.9897378222,-73.9468586478,225,3
117.895654620299993,-120.663531173099997,117.8956546203,-120.6635311731,300,4
142.774295343900008,-122.416828278699995,142.7742953439,-122.4168282787,301,4
170.332351481199993,-118.327752455699994,170.3323514812,-118.3277524557,302,4
191.494814431200012,-122.27692287399999,191.4948144312,-122.276922874,303,4
216.618152340600005,-117.966558947600006,216.6181523406,-117.9665589476,304,4
247.904090792700003,-117.372372794699999,247.9040907927,-117.3723727947,305,4
275.141919315999985,-112.345474122499994,275.141919316,-112.3454741225,306,4
301.41851590760001,-117.477164575900005,301.4185159076,-117.4771645759,307,4
330.164944350600024,-116.655838048899994,330.1649443506,-116.6558380489,308,4
358.911372793700025,-115.834511522,358.9113727937,-115.834511522,309,4
383.551168602000018,-115.834511522,383.551168602,-115.834511522,310,4
413.94025009889998,-115.834511522,413.9402500989,-115.834511522,311,4
